Country Name,Country Code,Region,IncomeGroup,Year,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Albania,ALB,Europe & Central Asia,Upper middle income,2005,12.82,6.21,1722.07,8052080000.00,2673.79,6.04,17.10,75.23,109.91,16.87
Albania,ALB,Europe & Central Asia,Upper middle income,2004,13.38,6.06,1797.53,7184680000.00,2373.58,2.42,18.30,75.04,110.47,17.27
Albania,ALB,Europe & Central Asia,Upper middle income,2003,14.05,5.95,1469.26,5611490000.00,1846.12,0.97,19.40,74.83,110.94,17.50
Albania,ALB,Europe & Central Asia,Upper middle income,2002,14.79,5.89,1578.17,4348070000.00,1425.12,0.39,20.60,74.58,111.35,17.51
Albania,ALB,Europe & Central Asia,Upper middle income,2001,15.59,5.88,1351.23,3922100000.00,1281.66,0.33,21.80,74.29,111.69,17.41
Albania,ALB,Europe & Central Asia,Upper middle income,2000,16.44,5.91,1449.65,3480360000.00,1126.68,0.11,23.00,73.96,112.74,17.77
Albania,ALB,Europe & Central Asia,Upper middle income,1999,17.32,5.98,1414.70,3212120000.00,1033.24,0.08,24.20,73.59,113.46,18.57
Albania,ALB,Europe & Central Asia,Upper middle income,1998,18.24,6.07,734.85,2545970000.00,813.79,0.07,25.40,73.21,114.18,18.32
Albania,ALB,Europe & Central Asia,Upper middle income,1997,19.17,6.15,694.67,2258520000.00,717.38,0.05,26.70,72.84,114.90,18.31
Albania,ALB,Europe & Central Asia,Upper middle income,1996,20.11,6.21,904.35,3199640000.00,1009.98,0.03,27.90,72.50,115.62,18.36
Albania,ALB,Europe & Central Asia,Upper middle income,1995,21.02,6.25,663.78,2392760000.00,750.60,0.01,29.10,72.21,116.34,17.61
Albania,ALB,Europe & Central Asia,Upper middle income,1994,21.90,6.25,596.41,1880950000.00,586.42,,30.20,71.99,117.06,17.53
Albania,ALB,Europe & Central Asia,Upper middle income,1993,22.74,6.22,536.36,1185320000.00,367.28,,31.40,71.86,117.78,17.68
Albania,ALB,Europe & Central Asia,Upper middle income,1992,23.53,6.16,453.64,652175000.00,200.85,,32.50,71.80,118.51,17.65
Albania,ALB,Europe & Central Asia,Upper middle income,1991,24.25,6.07,418.45,1099560000.00,336.59,,33.80,71.80,119.23,16.78
Albania,ALB,Europe & Central Asia,Upper middle income,1990,24.87,5.99,552.25,2028553750.00,617.23,0.00,35.20,71.84,119.95,
Albania,ALB,Europe & Central Asia,Upper middle income,1989,25.37,5.91,1021.39,2253090000.00,698.00,,36.90,71.86,117.81,
Albania,ALB,Europe & Central Asia,Upper middle income,1988,25.76,5.86,1005.94,2051236249.00,652.77,,38.80,71.84,114.68,
Albania,ALB,Europe & Central Asia,Upper middle income,1987,26.05,5.84,1161.95,2080796249.00,674.79,,41.00,71.76,112.54,
Albania,ALB,Europe & Central Asia,Upper middle income,1986,26.24,5.86,1420.61,2097326250.00,693.87,,43.40,71.61,110.32,
Albania,ALB,Europe & Central Asia,Upper middle income,1985,26.37,5.91,796.35,1897050000.00,639.87,,46.20,71.39,108.20,
Albania,ALB,Europe & Central Asia,Upper middle income,1984,26.45,5.98,1018.10,1857340000.00,639.49,,49.40,71.13,106.00,
Albania,ALB,Europe & Central Asia,Upper middle income,1983,26.53,6.06,1070.69,,,,52.80,70.88,103.79,
Albania,ALB,Europe & Central Asia,Upper middle income,1982,26.63,6.14,1096.87,,,,56.60,70.64,101.62,
Albania,ALB,Europe & Central Asia,Upper middle income,1981,26.77,6.22,1123.97,,,,61.00,70.42,99.49,
Albania,ALB,Europe & Central Asia,Upper middle income,1980,26.98,6.29,1142.97,,,,65.60,70.21,97.52,
Albania,ALB,Europe & Central Asia,Upper middle income,1979,27.26,6.38,1065.77,,,,70.50,69.99,95.54,
Albania,ALB,Europe & Central Asia,Upper middle income,1978,27.61,6.49,1098.48,,,,75.90,69.74,93.66,
Albania,ALB,Europe & Central Asia,Upper middle income,1977,28.00,6.62,1067.81,,,,,69.45,91.74,
Albania,ALB,Europe & Central Asia,Upper middle income,1976,28.46,6.78,908.68,,,,,69.11,89.73,
Albania,ALB,Europe & Central Asia,Upper middle income,1975,28.95,6.97,739.35,,,,,68.74,87.77,
Albania,ALB,Europe & Central Asia,Upper middle income,1974,29.47,7.17,591.03,,,,,68.34,85.77,
Albania,ALB,Europe & Central Asia,Upper middle income,1973,30.02,7.38,593.45,,,,,67.95,83.82,
Albania,ALB,Europe & Central Asia,Upper middle income,1972,30.59,7.59,568.40,,,,,67.58,81.87,
Albania,ALB,Europe & Central Asia,Upper middle income,1971,31.18,7.80,532.03,,,,,67.24,79.85,
Albania,ALB,Europe & Central Asia,Upper middle income,1970,31.84,8.00,,,,,,66.94,77.94,
Albania,ALB,Europe & Central Asia,Upper middle income,1969,32.59,8.18,,,,,,66.69,75.97,
Albania,ALB,Europe & Central Asia,Upper middle income,1968,33.46,8.37,,,,,,66.49,73.81,
Albania,ALB,Europe & Central Asia,Upper middle income,1967,34.44,8.56,,,,,,66.30,71.74,
Albania,ALB,Europe & Central Asia,Upper middle income,1966,35.50,8.76,,,,,,66.11,69.87,
Albania,ALB,Europe & Central Asia,Upper middle income,1965,36.60,9.01,,,,,,65.85,68.06,
Albania,ALB,Europe & Central Asia,Upper middle income,1964,37.70,9.32,,,,,,65.46,66.21,
Albania,ALB,Europe & Central Asia,Upper middle income,1963,38.72,9.71,,,,,,64.91,64.33,
Albania,ALB,Europe & Central Asia,Upper middle income,1962,39.63,10.18,,,,,,64.19,62.46,
Albania,ALB,Europe & Central Asia,Upper middle income,1961,40.37,10.72,,,,,,63.30,60.58,
Albania,ALB,Europe & Central Asia,Upper middle income,1960,40.92,11.33,,,,,,62.28,,
Algeria,DZA,Middle East & North Africa,Upper middle income,2018,,,,181000000000.00,4278.85,59.58,20.10,,17.73,12.15
Algeria,DZA,Middle East & North Africa,Upper middle income,2017,24.85,4.72,,168000000000.00,4048.29,47.69,20.60,76.50,17.38,12.00
Algeria,DZA,Middle East & North Africa,Upper middle income,2016,25.25,4.72,,160000000000.00,3948.81,42.95,21.00,76.30,17.03,10.20
Algeria,DZA,Middle East & North Africa,Upper middle income,2015,25.48,4.72,,166000000000.00,4177.89,38.20,21.40,76.09,16.68,11.21
Algeria,DZA,Middle East & North Africa,Upper middle income,2014,25.54,4.71,1362.87,214000000000.00,5493.06,29.50,21.80,75.88,16.34,10.21
Algeria,DZA,Middle East & North Africa,Upper middle income,2013,25.45,4.70,1278.92,210000000000.00,5499.59,22.50,22.10,75.66,16.01,9.82
Algeria,DZA,Middle East & North Africa,Upper middle income,2012,25.25,4.69,1237.97,209000000000.00,5592.22,18.20,22.40,75.44,15.70,10.97
Algeria,DZA,Middle East & North Africa,Upper middle income,2011,24.93,4.67,1123.33,200000000000.00,5455.84,14.90,22.90,75.20,15.39,9.96
Algeria,DZA,Middle East & North Africa,Upper middle income,2010,24.50,4.66,1016.64,161000000000.00,4480.79,12.50,23.50,74.94,15.11,9.96
Algeria,DZA,Middle East & North Africa,Upper middle income,2009,23.93,4.64,866.31,137000000000.00,3883.27,11.23,24.30,74.64,14.84,10.16
Algeria,DZA,Middle East & North Africa,Upper middle income,2008,23.23,4.64,947.29,171000000000.00,4923.63,10.18,25.30,74.31,14.58,11.33
Algeria,DZA,Middle East & North Africa,Upper middle income,2007,22.42,4.64,894.29,135000000000.00,3950.51,9.45,26.40,73.94,14.35,13.79
Algeria,DZA,Middle East & North Africa,Upper middle income,2006,21.58,4.65,862.43,117000000000.00,3478.71,7.38,27.50,73.52,14.12,12.27
Algeria,DZA,Middle East & North Africa,Upper middle income,2005,20.77,4.67,890.63,103000000000.00,3113.09,5.84,28.80,73.07,13.92,15.27
Algeria,DZA,Middle East & North Africa,Upper middle income,2004,20.08,4.71,804.11,85325000000.00,2609.95,4.63,30.10,72.59,13.73,17.65
Algeria,DZA,Middle East & North Africa,Upper middle income,2003,19.56,4.76,786.41,67863800000.00,2103.38,2.20,31.30,72.10,13.55,23.72
Algeria,DZA,Middle East & North Africa,Upper middle income,2002,19.27,4.81,730.81,56760300000.00,1781.83,1.59,32.40,71.61,13.37,25.90
Algeria,DZA,Middle East & North Africa,Upper middle income,2001,19.26,4.88,709.09,54744700000.00,1740.61,0.65,33.30,71.12,13.21,27.30
Algeria,DZA,Middle East & North Africa,Upper middle income,2000,19.55,4.96,683.30,54790200000.00,1765.02,0.49,33.90,70.64,13.03,29.77
Algeria,DZA,Middle East & North Africa,Upper middle income,1999,20.18,5.05,652.80,48640600000.00,1588.35,0.20,34.40,70.18,12.86,28.45
Algeria,DZA,Middle East & North Africa,Upper middle income,1998,21.07,5.15,618.49,48187700000.00,1596.00,0.02,34.90,69.75,12.68,26.92
Algeria,DZA,Middle East & North Africa,Upper middle income,1997,22.19,5.26,575.70,48177900000.00,1619.81,0.01,35.50,69.32,12.49,25.43
Algeria,DZA,Middle East & North Africa,Upper middle income,1996,23.48,5.38,570.52,46941500000.00,1603.94,0.00,36.20,68.92,12.29,28.62
Algeria,DZA,Middle East & North Africa,Upper middle income,1995,24.88,5.50,559.92,41764100000.00,1452.27,0.00,37.10,68.54,12.07,31.84
Algeria,DZA,Middle East & North Africa,Upper middle income,1994,26.36,5.62,550.97,42542600000.00,1507.87,0.00,38.10,68.19,11.85,27.74
Algeria,DZA,Middle East & North Africa,Upper middle income,1993,27.86,5.75,547.99,49946500000.00,1807.33,,39.00,67.88,11.60,26.23
Algeria,DZA,Middle East & North Africa,Upper middle income,1992,29.35,5.89,559.78,48003300000.00,1776.04,,39.90,67.58,11.35,24.38
Algeria,DZA,Middle East & North Africa,Upper middle income,1991,30.77,6.04,532.49,45715400000.00,1731.61,,40.70,67.27,11.08,20.60
Algeria,DZA,Middle East & North Africa,Upper middle income,1990,32.13,6.21,531.58,62045100000.00,2408.69,0.00,41.80,66.94,10.82,
Algeria,DZA,Middle East & North Africa,Upper middle income,1989,33.42,6.41,522.14,55631500000.00,2215.85,,43.20,66.55,10.54,
Algeria,DZA,Middle East & North Africa,Upper middle income,1988,34.65,6.66,481.89,59089100000.00,2417.38,,45.30,66.10,10.26,
Algeria,DZA,Middle East & North Africa,Upper middle income,1987,35.86,6.96,455.41,66742300000.00,2807.33,,48.50,65.55,9.98,
Algeria,DZA,Middle East & North Africa,Upper middle income,1986,37.03,7.32,485.27,63696300000.00,2757.13,,53.00,64.88,9.70,
Algeria,DZA,Middle East & North Africa,Upper middle income,1985,38.18,7.76,466.49,57937900000.00,2582.88,,59.40,64.09,9.42,
Algeria,DZA,Middle East & North Africa,Upper middle income,1984,39.28,8.30,441.29,53698300000.00,2467.35,,67.50,63.13,9.14,
Algeria,DZA,Middle East & North Africa,Upper middle income,1983,40.35,8.94,417.50,48801400000.00,2312.66,,76.60,62.03,8.86,
Algeria,DZA,Middle East & North Africa,Upper middle income,1982,41.38,9.66,406.06,45207100000.00,2210.30,,85.80,60.81,8.59,
Algeria,DZA,Middle East & North Africa,Upper middle income,1981,42.34,10.45,363.44,44348700000.00,2237.09,,94.20,59.52,8.32,
Algeria,DZA,Middle East & North Africa,Upper middle income,1980,43.23,11.26,330.30,42345300000.00,2203.00,,101.50,58.20,8.07,
Algeria,DZA,Middle East & North Africa,Upper middle income,1979,44.01,12.08,314.57,33243400000.00,1782.70,,107.80,56.91,7.83,
Algeria,DZA,Middle East & North Africa,Upper middle income,1978,44.69,12.85,278.97,26364500000.00,1456.42,,113.40,55.70,7.60,
Algeria,DZA,Middle East & North Africa,Upper middle income,1977,45.27,13.57,233.12,20971900000.00,1192.74,,118.60,54.61,7.38,
Algeria,DZA,Middle East & North Africa,Upper middle income,1976,45.73,14.21,220.07,17728300000.00,1037.61,,123.50,53.66,7.17,
Algeria,DZA,Middle East & North Africa,Upper middle income,1975,46.10,14.76,195.69,15557900000.00,936.79,,128.10,52.87,6.97,
Algeria,DZA,Middle East & North Africa,Upper middle income,1974,46.38,15.23,170.66,13209700000.00,817.99,,132.50,52.22,6.78,
Algeria,DZA,Middle East & North Africa,Upper middle income,1973,46.59,15.63,158.75,8715110000.00,554.76,,136.70,51.68,6.60,
Algeria,DZA,Middle East & North Africa,Upper middle income,1972,46.77,16.00,142.88,6761790000.00,442.35,,140.20,51.20,6.42,
Algeria,DZA,Middle East & North Africa,Upper middle income,1971,46.92,16.33,133.87,5077220000.00,341.39,,143.10,50.77,6.24,
Algeria,DZA,Middle East & North Africa,Upper middle income,1970,47.09,16.65,,4863490000.00,336.23,,145.50,50.37,6.07,
Algeria,DZA,Middle East & North Africa,Upper middle income,1969,47.30,16.98,,4257220000.00,302.75,,147.10,49.98,5.90,
Algeria,DZA,Middle East & North Africa,Upper middle income,1968,47.56,17.30,,3852120000.00,281.93,,148.20,49.60,5.74,
Algeria,DZA,Middle East & North Africa,Upper middle income,1967,47.87,17.65,,3370840000.00,253.92,,148.60,49.21,5.57,
Algeria,DZA,Middle East & North Africa,Upper middle income,1966,48.22,18.01,,3039830000.00,235.60,,148.60,48.81,5.42,
Algeria,DZA,Middle East & North Africa,Upper middle income,1965,48.58,18.38,,3136260000.00,249.88,,148.30,48.39,5.27,
Algeria,DZA,Middle East & North Africa,Upper middle income,1964,48.92,18.78,,2909350000.00,238.05,,147.90,47.96,5.13,
Algeria,DZA,Middle East & North Africa,Upper middle income,1963,49.21,19.18,,2703010000.00,226.90,,147.40,47.51,5.00,
Algeria,DZA,Middle East & North Africa,Upper middle income,1962,49.43,19.57,,2001470000.00,172.25,,146.90,47.06,4.88,
Algeria,DZA,Middle East & North Africa,Upper middle income,1961,49.58,19.97,,2434780000.00,214.78,,146.60,46.60,4.76,
Algeria,DZA,Middle East & North Africa,Upper middle income,1960,49.66,20.36,,2723650000.00,246.31,,146.50,46.14,,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2018,,,,,,,,,277.33,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2017,,,,634000000.00,11398.80,,,,278.10,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2016,,,,653000000.00,11714.90,,,,278.71,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2015,,,,661000000.00,11843.30,,,,279.06,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2014,17.50,4.20,,643000000.00,11525.20,,,,278.96,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2013,,,,641000000.00,11505.40,,,,278.57,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2012,,,,644000000.00,11568.80,,,,278.34,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2011,,,,574000000.00,10294.30,,,,278.80,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2010,18.70,,,576000000.00,10271.20,,,,280.40,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2009,,,,678000000.00,11961.30,,,,283.42,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2008,,,,563000000.00,9792.67,,,,287.46,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2007,,,,520000000.00,8909.45,,,,291.83,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2006,21.60,4.00,,496000000.00,8391.56,,,,295.54,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2005,,,,503000000.00,8444.98,,,,297.81,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2004,,,,512000000.00,8578.94,,,,298.41,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2003,,,,527000000.00,8856.55,,,,297.52,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2002,,,,514000000.00,8700.07,,,,295.40,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2001,,,,,,,,,292.47,
American Samoa,ASM,East Asia & Pacific,Upper middle income,2000,,,,,,,,,289.11,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1999,,,,,,,,,285.27,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1998,,,,,,,,,280.86,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1997,,,,,,,,,276.11,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1996,,,,,,,,,271.06,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1995,,,,,,,,,265.81,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1994,,,,,,,,,260.48,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1993,,,,,,,,,255.10,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1992,,,,,,,,,249.48,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1991,,,,,,,,,243.43,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1990,,,,,,0.00,,,236.74,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1989,,,,,,,,,229.47,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1988,,,,,,,,,221.72,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1987,,,,,,,,,213.70,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1986,,,,,,,,,205.60,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1985,,,,,,,,,197.60,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1984,,,,,,,,,189.73,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1983,,,,,,,,,182.06,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1982,,,,,,,,,174.84,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1981,,,,,,,,,168.51,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1980,,,,,,,,,163.23,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1979,,,,,,,,,159.23,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1978,,,,,,,,,156.35,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1977,,,,,,,,,154.19,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1976,,,,,,,,,152.28,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1975,,,,,,,,,150.26,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1974,,,,,,,,,147.98,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1973,,,,,,,,,145.50,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1972,,,,,,,,,142.84,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1971,,,,,,,,,139.92,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1970,,,,,,,,,136.82,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1969,,,,,,,,,133.52,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1968,,,,,,,,,129.95,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1967,,,,,,,,,126.24,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1966,,,,,,,,,122.31,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1965,,,,,,,,,118.36,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1964,,,,,,,,,114.27,
American Samoa,ASM,East Asia & Pacific,Upper middle income,1963,,,,,,,,,110.17,
